accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 0; 4; 0; 22; -5.74484
0; 1; 0; 0; 461; -10.1188
0; 0; 2; 0; 656; -11.8895
0; 3; 0; 0; 233; -7.49206
0; 3; 0; 0; 520; -12.8403
0; 5; 0; 0; 879; -14.2018
0; 3; 0; 0; 246; -14.6991
0; 0; 4; 0; 280; -13.8231
0; 4; 0; 0; 447; -12.9052
1; 2; 0; 0; 136; -10.5268
0; 2; 0; 0; 780; -11.8075
0; 5; 0; 0; 813; -7.95263
0; 0; 3; 0; 66; -17.597
1; 5; 0; 0; 671; -20.5703
0; 0; 1; 0; 245; -18.737
0; 3; 0; 0; 779; -12.1671
0; 3; 0; 0; 987; -14.8444
0; 0; 2; 0; 614; -11.2198
0; 0; 5; 0; 694; -16.4407
0; 5; 0; 0; 562; -4.13477
0; 2; 0; 0; 510; -8.21464
0; 4; 0; 0; 471; -10.8712
0; 0; 2; 0; 737; -8.2831
1; 3; 0; 0; 984; -7.84561
0; 0; 4; 0; 150; -11.989
0; 0; 1; 0; 310; -6.14053
0; 4; 0; 0; 933; -10.1135
0; 0; 3; 0; 816; -6.35882
0; 5; 0; 0; 816; -6.35882
0; 5; 0; 0; 717; -5.60411
0; 2; 0; 0; 717; -5.60411
0; 3; 0; 0; 717; -5.60411
0; 4; 0; 0; 717; -5.60411
0; 3; 0; 0; 717; -5.60411
0; 5; 0; 0; 958; -3.47327
0; 2; 0; 0; 958; -3.47327
0; 0; 1; 0; 958; -3.47327
0; 0; 4; 0; 958; -3.47327
0; 0; 2; 0; 958; -3.47327
0; 0; 2; 0; 958; -3.47327
0; 0; 1; 0; 726; -6.72384
0; 1; 0; 0; 137; -5.02171
0; 4; 0; 0; 137; -5.02171
0; 1; 0; 0; 678; -5.32813
0; 0; 1; 0; 678; -3.58204
0; 0; 5; 0; 958; -1.01314
0; 0; 2; 0; 958; -1.01314
0; 3; 0; 0; 958; -1.01314
0; 3; 0; 0; 958; -1.01314
0; 4; 0; 0; 958; -1.00729
0; 3; 0; 0; 958; -1.00729
0; 1; 0; 0; 958; -1.00729
0; 4; 0; 0; 958; -1.00729
0; 5; 0; 0; 958; -0.609544
1; 0; 0; 1; 16; -1.65927
0; 0; 1; 0; 860; -4.28113
0; 2; 0; 0; 16; 0.622876
0; 4; 0; 0; 16; 0.622876
0; 0; 2; 0; 936; -6.03296
0; 3; 0; 0; 958; -2.69236
0; 4; 0; 0; 958; -2.69236
0; 0; 4; 0; 763; -7.43309
0; 0; 1; 0; 42; -1.56636
0; 0; 4; 0; 42; -1.56636
0; 4; 0; 0; 42; -1.56636
1; 0; 0; 1; 42; -1.56636
0; 0; 5; 0; 42; -1.56636
1; 0; 0; 1; 42; -1.56636
0; 0; 5; 0; 42; -1.56636
1; 0; 0; 1; 42; -1.56636
0; 3; 0; 0; 76; -2.40648
0; 3; 0; 0; 206; 0.591915
1; 0; 0; 1; 206; 0.591915
0; 5; 0; 0; 816; 1.03484
0; 5; 0; 0; 76; -0.532854
0; 0; 1; 0; 842; -1.21395
0; 0; 2; 0; 628; -1.23725
0; 4; 0; 0; 42; 2.13897
1; 0; 0; 1; 42; 2.13897
0; 5; 0; 0; 42; 2.01526
0; 2; 0; 0; 42; 2.01526
0; 0; 5; 0; 42; 2.01526
0; 0; 1; 0; 42; 2.01526
0; 2; 0; 0; 42; 2.01526
0; 0; 2; 0; 816; 0.984109
0; 2; 0; 0; 42; 0.198362
0; 5; 0; 0; 42; 0.198362
0; 5; 0; 0; 42; 0.198362
0; 5; 0; 0; 42; 0.198362
0; 5; 0; 0; 42; 0.198362
0; 3; 0; 0; 466; -1.25642
1; 0; 0; 1; 150; -2.81427
0; 4; 0; 0; 216; -1.80046
0; 4; 0; 0; 292; -4.22343
0; 0; 2; 0; 207; -9.37285
0; 5; 0; 0; 726; -6.25274
0; 0; 4; 0; 252; -5.02599
0; 4; 0; 0; 310; -6.32234
0; 0; 1; 0; 86; -4.78407
0; 0; 2; 0; 86; -4.78407
0; 0; 1; 0; 86; -4.78407
0; 0; 2; 0; 10; -11.5139
0; 5; 0; 0; 150; -9.46854
0; 1; 0; 0; 150; -9.46854
0; 3; 0; 0; 719; -15.0601
1; 0; 0; 1; 205; -12.185
0; 0; 1; 0; 205; -12.185
0; 0; 5; 0; 205; -12.185
0; 1; 0; 0; 167; -14.2294
0; 4; 0; 0; 962; -14.7832
0; 0; 5; 0; 201; -13.3196
0; 0; 3; 0; 984; -10.3203
0; 0; 3; 0; 11; -8.72711
0; 2; 0; 0; 827; -5.57367
0; 4; 0; 0; 962; -5.31913
0; 0; 3; 0; 435; -4.38353
0; 4; 0; 0; 435; -3.68202
1; 0; 3; 0; 274; -5.23762
0; 0; 4; 0; 252; -6.10435
0; 2; 0; 0; 86; -5.92903
0; 3; 0; 0; 216; -6.88623
0; 0; 3; 0; 261; -5.79576
1; 0; 2; 0; 636; -7.00297
0; 1; 0; 0; 261; -5.74761
0; 1; 0; 0; 468; -4.32124
0; 4; 0; 0; 673; -13.0904
0; 3; 0; 0; 780; -16.5532
0; 2; 0; 0; 118; -8.50366
0; 0; 5; 0; 582; -11.737
0; 5; 0; 0; 44; -17.1742
0; 5; 0; 0; 135; -14.1821
0; 0; 4; 0; 933; -17.9682
0; 3; 0; 0; 368; -13.7112
1; 3; 0; 0; 20; -10.8481
0; 0; 5; 0; 632; -6.22204
0; 2; 0; 0; 632; -6.22204
0; 4; 0; 0; 850; -8.605
0; 0; 3; 0; 310; -5.45718
0; 5; 0; 0; 689; -7.68601
0; 1; 0; 0; 266; -6.72931
0; 3; 0; 0; 137; -5.60864
0; 0; 3; 0; 435; -5.90429
0; 0; 5; 0; 142; -5.38834
0; 4; 0; 0; 274; -4.01513
0; 2; 0; 0; 252; -4.71206
0; 0; 4; 0; 624; -3.57701
0; 0; 4; 0; 860; -4.05689
0; 2; 0; 0; 42; -0.747989
0; 5; 0; 0; 42; 0.261265
0; 0; 5; 0; 42; 0.261265
0; 0; 2; 0; 42; 0.261265
0; 4; 0; 0; 42; 0.261265
0; 0; 1; 0; 42; 0.261265
0; 5; 0; 0; 42; 0.261265
0; 3; 0; 0; 42; 0.261265
0; 0; 1; 0; 42; 0.261265
0; 0; 4; 0; 695; -3.85852
0; 0; 4; 0; 689; -1.99395
0; 4; 0; 0; 689; -2.0129
0; 0; 5; 0; 860; -2.67699
0; 0; 5; 0; 958; -3.2184
0; 1; 0; 0; 958; -3.2184
0; 0; 2; 0; 958; -3.2184
0; 0; 1; 0; 958; -3.2184
0; 0; 5; 0; 958; -3.2184
0; 4; 0; 0; 958; -3.2184
0; 5; 0; 0; 958; -3.2184
0; 0; 4; 0; 72; -6.3486
0; 1; 0; 0; 867; -4.36732
0; 4; 0; 0; 16; -2.24547
0; 1; 0; 0; 16; -2.24547
0; 4; 0; 0; 827; -4.1375
1; 0; 1; 0; 923; -8.3686
0; 3; 0; 0; 86; -9.95579
0; 0; 5; 0; 619; -10.7463
0; 1; 0; 0; 213; -14.7889
0; 0; 5; 0; 10; -9.56029
0; 0; 1; 0; 435; -8.81202
0; 0; 2; 0; 205; -8.51177
0; 4; 0; 0; 44; -10.4086
0; 0; 2; 0; 816; -4.31369
0; 0; 1; 0; 816; -4.31369
0; 3; 0; 0; 816; -3.49117
0; 0; 3; 0; 274; -3.80717
0; 0; 1; 0; 274; -3.80717
0; 0; 3; 0; 274; -3.80717
0; 0; 5; 0; 853; -10.0246
0; 0; 4; 0; 958; -4.31981
0; 0; 3; 0; 958; -4.31981
0; 5; 0; 0; 958; -4.31981
0; 1; 0; 0; 624; -5.41494
0; 0; 5; 0; 86; -7.01959
0; 3; 0; 0; 816; -5.62193
0; 0; 4; 0; 816; -5.62193
0; 0; 2; 0; 344; -4.99103
0; 3; 0; 0; 689; -5.79579
0; 4; 0; 0; 42; -4.09202
0; 0; 1; 0; 42; -4.09202
0; 2; 0; 0; 137; -3.15327
0; 0; 4; 0; 466; 1.62325
0; 5; 0; 0; 919; -1.36434
0; 0; 2; 0; 860; -2.48341
1; 0; 0; 1; 234; -7.57912
0; 1; 0; 0; 137; -3.7046
0; 4; 0; 0; 741; -8.00774
0; 3; 0; 0; 187; -17.4858
0; 5; 0; 0; 928; -15.3458
0; 4; 0; 0; 500; -11.7785
0; 0; 2; 0; 211; -6.07196
0; 0; 5; 0; 211; -6.07196
0; 0; 4; 0; 229; -8.26132
0; 0; 5; 0; 229; -7.33507
0; 0; 5; 0; 928; -6.86764
0; 4; 0; 0; 820; -10.0069
0; 3; 0; 0; 763; -5.55976
0; 4; 0; 0; 466; -4.28692
1; 2; 0; 0; 725; -14.017
0; 5; 0; 0; 695; -7.31871
0; 4; 0; 0; 252; -7.62532
0; 0; 5; 0; 466; -8.16278
0; 0; 5; 0; 205; -6.16816
0; 1; 0; 0; 860; -5.24663
0; 5; 0; 0; 624; -1.45134
0; 5; 0; 0; 624; -1.45134
0; 0; 1; 0; 624; -1.45134
0; 0; 1; 0; 624; -1.45134
0; 1; 0; 0; 624; -1.45134
0; 0; 4; 0; 624; -1.45134
0; 0; 1; 0; 624; -1.45134
0; 0; 3; 0; 42; -2.1821
0; 1; 0; 0; 42; -9.68653
0; 5; 0; 0; 532; -9.32168
0; 0; 3; 0; 860; -7.30148
