accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 5; 0; 0; 274; -1.78537
1; 0; 2; 0; 696; -5.22947
0; 5; 0; 0; 696; -5.22947
0; 3; 0; 0; 466; -0.478013
0; 2; 0; 0; 466; -0.478013
0; 0; 5; 0; 466; -0.478013
0; 0; 5; 0; 466; -0.478013
0; 2; 0; 0; 466; -0.478013
0; 0; 5; 0; 466; -0.478013
0; 0; 3; 0; 466; -0.478013
0; 0; 3; 0; 86; -2.62018
0; 5; 0; 0; 20; -6.7451
0; 5; 0; 0; 102; -9.98246
1; 3; 0; 0; 691; -13.717
0; 3; 0; 0; 385; -10.7
0; 1; 0; 0; 10; -12.3447
0; 0; 5; 0; 10; -12.1081
0; 0; 3; 0; 10; -12.1081
0; 0; 2; 0; 628; -11.5858
0; 0; 1; 0; 292; -11.6651
0; 0; 4; 0; 867; -12.3914
0; 5; 0; 0; 41; -15.0843
1; 0; 0; 1; 10; -7.45811
0; 3; 0; 0; 10; -7.43767
1; 0; 0; 1; 10; -7.43767
0; 0; 1; 0; 10; -7.43767
0; 1; 0; 0; 457; -9.99761
0; 0; 4; 0; 457; -9.99761
0; 5; 0; 0; 839; -9.80124
0; 4; 0; 0; 532; -8.19609
1; 0; 1; 0; 267; -9.17296
0; 5; 0; 0; 693; -3.57657
0; 2; 0; 0; 750; -19.105
0; 0; 4; 0; 22; -7.47612
0; 4; 0; 0; 911; -7.34756
0; 2; 0; 0; 13; -8.13437
1; 5; 0; 0; 245; -5.74345
0; 0; 4; 0; 830; -11.5518
0; 5; 0; 0; 678; -9.59496
0; 0; 4; 0; 984; -14.9582
0; 0; 3; 0; 4; -13.9658
1; 5; 0; 0; 741; -7.36142
0; 2; 0; 0; 148; -12.1644
0; 3; 0; 0; 617; -14.2993
0; 4; 0; 0; 925; -20.512
0; 0; 4; 0; 685; -16.1588
0; 0; 5; 0; 19; -11.1092
1; 0; 1; 0; 763; -14.1918
0; 4; 0; 0; 449; -9.90461
0; 2; 0; 0; 62; -17.2489
0; 3; 0; 0; 19; -8.06875
0; 0; 4; 0; 19; -8.06875
0; 5; 0; 0; 19; -8.06875
0; 2; 0; 0; 19; -8.06875
0; 0; 4; 0; 19; -7.84042
0; 3; 0; 0; 19; -7.84042
0; 0; 1; 0; 246; -12.139
0; 0; 5; 0; 410; -9.52564
0; 4; 0; 0; 216; -8.13336
1; 0; 0; 1; 913; -8.21982
0; 4; 0; 0; 206; -8.12448
0; 0; 1; 0; 86; -2.28849
1; 0; 0; 1; 206; -4.10972
0; 3; 0; 0; 206; -4.10972
0; 0; 1; 0; 42; -12.7082
1; 0; 0; 1; 344; -6.05433
1; 0; 0; 1; 457; -10.6752
0; 0; 4; 0; 663; -9.75017
0; 1; 0; 0; 252; -12.0447
0; 0; 3; 0; 521; -10.3716
0; 2; 0; 0; 928; -10.7775
1; 0; 4; 0; 385; -10.46
0; 5; 0; 0; 959; -8.13481
0; 0; 5; 0; 87; -11.3759
0; 1; 0; 0; 480; -9.01211
1; 0; 0; 1; 468; -4.0378
0; 0; 2; 0; 44; -9.6836
0; 3; 0; 0; 22; -6.89315
0; 4; 0; 0; 22; -10.8808
0; 0; 5; 0; 878; -7.01614
0; 1; 0; 0; 562; -5.74289
0; 4; 0; 0; 148; -6.7175
0; 1; 0; 0; 73; -3.8684
0; 4; 0; 0; 999; -11.7401
0; 1; 0; 0; 13; -9.26213
0; 0; 1; 0; 310; -9.86777
1; 0; 0; 1; 948; -14.1894
1; 2; 0; 0; 497; -14.5081
0; 0; 5; 0; 624; -9.53607
0; 0; 3; 0; 206; -6.6393
0; 4; 0; 0; 150; -7.61171
1; 0; 0; 1; 212; -9.59846
0; 0; 2; 0; 278; -18.4513
0; 1; 0; 0; 9; -19.9422
0; 3; 0; 0; 848; -20.1045
0; 3; 0; 0; 485; -28.2836
0; 4; 0; 0; 13; -21.5324
0; 0; 4; 0; 714; -16.8959
0; 3; 0; 0; 714; -16.8628
0; 1; 0; 0; 849; -18.8191
0; 2; 0; 0; 683; -26.0962
0; 0; 4; 0; 802; -21.9997
1; 0; 0; 1; 958; -9.10977
0; 5; 0; 0; 60; -13.8082
0; 3; 0; 0; 110; -17.1559
1; 4; 0; 0; 780; -16.0436
0; 0; 2; 0; 443; -16.1541
0; 0; 5; 0; 678; -15.0318
0; 0; 5; 0; 568; -12.2396
1; 5; 0; 0; 375; -11.3696
1; 0; 3; 0; 89; -14.6519
0; 0; 4; 0; 62; -10.4705
0; 0; 3; 0; 252; -2.11408
1; 0; 0; 1; 252; -2.11408
0; 4; 0; 0; 835; -17.4063
0; 3; 0; 0; 937; -17.896
0; 0; 4; 0; 726; -16.9185
0; 3; 0; 0; 62; -18.1145
0; 5; 0; 0; 764; -21.1359
0; 5; 0; 0; 332; -12.8915
0; 0; 2; 0; 623; -25.4584
0; 0; 3; 0; 444; -24.9793
0; 0; 5; 0; 236; -19.6174
0; 0; 5; 0; 913; -18.5697
0; 0; 5; 0; 794; -14.0463
1; 3; 0; 0; 211; -17.918
0; 5; 0; 0; 878; -7.03045
0; 4; 0; 0; 19; -1.17326
0; 4; 0; 0; 19; -1.17326
0; 0; 5; 0; 19; -1.17326
0; 3; 0; 0; 468; -0.845641
0; 4; 0; 0; 468; -0.845641
0; 0; 5; 0; 468; -0.845641
0; 1; 0; 0; 468; -0.845641
0; 0; 4; 0; 468; -0.845641
0; 1; 0; 0; 468; -0.845641
0; 0; 4; 0; 568; -5.87718
0; 4; 0; 0; 468; -0.726353
0; 1; 0; 0; 468; -0.726353
0; 2; 0; 0; 468; -0.726353
0; 0; 4; 0; 468; -0.726353
0; 5; 0; 0; 636; -6.61046
0; 5; 0; 0; 789; -1.62347
0; 2; 0; 0; 16; -1.21341
0; 0; 5; 0; 743; -8.0343
0; 0; 1; 0; 223; -6.60669
0; 0; 5; 0; 562; -5.19453
0; 0; 5; 0; 80; -5.38163
0; 0; 3; 0; 752; -5.02722
0; 0; 2; 0; 16; -3.05965
0; 0; 3; 0; 746; -7.23945
0; 0; 4; 0; 555; -10.014
0; 1; 0; 0; 73; -3.62145
1; 0; 0; 1; 497; -8.51444
0; 5; 0; 0; 919; -7.53935
0; 2; 0; 0; 12; -8.47124
0; 1; 0; 0; 563; -10.3768
0; 0; 2; 0; 73; -11.4444
0; 4; 0; 0; 514; -9.28773
0; 0; 2; 0; 710; -11.1828
0; 1; 0; 0; 755; -3.82119
0; 0; 4; 0; 755; -3.82119
0; 0; 1; 0; 314; -3.26367
0; 0; 3; 0; 633; -6.62022
0; 0; 2; 0; 20; -5.27036
0; 4; 0; 0; 753; -7.31764
0; 2; 0; 0; 435; -4.5204
0; 0; 1; 0; 310; -4.72362
0; 0; 3; 0; 142; -7.59322
0; 5; 0; 0; 368; -8.64923
0; 5; 0; 0; 647; -5.40976
0; 4; 0; 0; 397; -6.20155
0; 2; 0; 0; 73; -3.63981
0; 0; 1; 0; 771; -8.11564
0; 5; 0; 0; 234; -7.80116
0; 1; 0; 0; 824; -5.60303
0; 3; 0; 0; 24; -8.74135
0; 3; 0; 0; 274; -3.87129
0; 0; 2; 0; 274; -3.87129
1; 0; 0; 1; 274; -4.32449
0; 0; 3; 0; 159; -12.7969
0; 4; 0; 0; 142; -18.7289
0; 0; 5; 0; 514; -18.3448
0; 0; 1; 0; 291; -21.9483
0; 1; 0; 0; 670; -16.4683
0; 1; 0; 0; 76; -10.0438
0; 1; 0; 0; 867; -4.70226
0; 2; 0; 0; 816; -2.19967
0; 2; 0; 0; 61; -9.7688
0; 0; 1; 0; 245; 0.0462018
0; 0; 3; 0; 245; 0.0462018
0; 1; 0; 0; 245; 0.0462018
0; 5; 0; 0; 827; -3.58621
0; 2; 0; 0; 962; -8.62596
0; 3; 0; 0; 466; -4.46256
0; 0; 2; 0; 466; -4.46256
0; 0; 4; 0; 930; -8.05188
0; 3; 0; 0; 206; -7.14685
1; 0; 0; 1; 150; -12.1191
0; 5; 0; 0; 86; -7.70288
0; 1; 0; 0; 42; -9.15762
0; 0; 1; 0; 42; -9.15762
0; 0; 2; 0; 42; -9.15762
0; 0; 5; 0; 42; -9.15762
0; 1; 0; 0; 382; -14.702
0; 5; 0; 0; 928; -12.1944
0; 0; 1; 0; 725; -16.8573
0; 0; 4; 0; 371; -12.1113
0; 0; 1; 0; 19; -5.13263
0; 0; 2; 0; 468; -2.82113
0; 0; 1; 0; 468; -2.82113
0; 3; 0; 0; 468; -2.82113
0; 2; 0; 0; 468; -2.82113
0; 2; 0; 0; 468; -2.82113
0; 5; 0; 0; 468; -2.82113
0; 0; 1; 0; 468; -2.82113
0; 0; 4; 0; 468; -2.82113
0; 5; 0; 0; 468; -2.82113
0; 0; 5; 0; 468; -2.82113
0; 0; 1; 0; 468; -2.82113
0; 1; 0; 0; 468; -2.82113
0; 5; 0; 0; 468; -2.82113
0; 0; 4; 0; 468; -2.82113
0; 5; 0; 0; 468; -2.82113
0; 2; 0; 0; 468; -2.82113
0; 3; 0; 0; 468; -2.82113
0; 0; 5; 0; 468; -2.82113
0; 3; 0; 0; 468; -2.82113
0; 4; 0; 0; 468; -2.82113
0; 0; 4; 0; 468; -2.82113
0; 0; 4; 0; 468; -2.82113
0; 2; 0; 0; 468; -2.82113
0; 0; 4; 0; 468; -2.82113
0; 5; 0; 0; 468; -2.82113
0; 0; 3; 0; 468; -2.82113
0; 2; 0; 0; 468; -2.82113
0; 5; 0; 0; 19; -3.15572
0; 0; 4; 0; 296; -6.32426
0; 0; 5; 0; 919; -2.23596
0; 2; 0; 0; 919; -2.23596
