accepted; matrix.corr; matrix.sd; root; which.phylo; log.lik 
0; 0; 2; 0; 71; 330.472
0; 2; 0; 0; 71; 330.472
0; 3; 0; 0; 71; 330.472
1; 0; 0; 1; 71; 330.472
0; 4; 0; 0; 71; 330.472
0; 3; 0; 0; 71; 330.472
0; 0; 4; 0; 71; 330.472
0; 0; 5; 0; 71; 330.472
0; 0; 3; 0; 71; 330.472
0; 0; 1; 0; 71; 330.472
1; 0; 0; 1; 807; 328.532
0; 0; 5; 0; 880; 333.459
0; 2; 0; 0; 880; 333.459
0; 0; 5; 0; 880; 333.459
0; 2; 0; 0; 880; 333.459
0; 1; 0; 0; 880; 333.459
0; 3; 0; 0; 880; 333.459
0; 0; 4; 0; 880; 333.459
1; 0; 0; 1; 880; 333.459
1; 0; 0; 1; 880; 333.459
0; 3; 0; 0; 880; 333.459
0; 0; 3; 0; 880; 333.459
0; 4; 0; 0; 880; 333.459
0; 0; 2; 0; 880; 333.459
0; 5; 0; 0; 880; 333.459
0; 0; 3; 0; 880; 333.459
0; 0; 2; 0; 880; 333.459
0; 1; 0; 0; 880; 333.459
0; 2; 0; 0; 880; 333.459
0; 0; 2; 0; 880; 333.459
0; 2; 0; 0; 880; 333.459
0; 3; 0; 0; 880; 333.459
0; 3; 0; 0; 880; 333.459
0; 1; 0; 0; 71; 329.184
1; 0; 0; 1; 71; 329.184
1; 0; 0; 1; 109; 324.741
0; 0; 4; 0; 3; 322.571
0; 4; 0; 0; 281; 325.606
0; 0; 1; 0; 404; 326.951
1; 0; 0; 1; 455; 321.595
0; 0; 2; 0; 360; 320.142
0; 1; 0; 0; 881; 319.262
0; 2; 0; 0; 341; 319.232
0; 0; 3; 0; 223; 318.042
0; 0; 1; 0; 228; 322.412
0; 0; 2; 0; 496; 321.148
0; 2; 0; 0; 764; 317.461
0; 4; 0; 0; 78; 316.543
0; 0; 1; 0; 248; 307.978
0; 0; 5; 0; 491; 303.339
0; 3; 0; 0; 181; 300.797
0; 0; 5; 0; 356; 303.918
0; 4; 0; 0; 613; 308.734
0; 0; 1; 0; 30; 306.481
0; 3; 0; 0; 519; 304.101
0; 1; 0; 0; 714; 309.001
0; 0; 1; 0; 404; 315.879
0; 4; 0; 0; 872; 316.264
1; 0; 0; 1; 733; 313.455
0; 4; 0; 0; 646; 315.655
1; 4; 0; 0; 404; 313.295
0; 0; 4; 0; 641; 322.195
0; 0; 3; 0; 785; 319.799
1; 4; 0; 0; 506; 318.959
0; 2; 0; 0; 714; 323.465
0; 0; 2; 0; 714; 323.465
0; 0; 1; 0; 732; 322.304
0; 2; 0; 0; 719; 319.132
0; 4; 0; 0; 611; 317.177
0; 2; 0; 0; 266; 320.521
0; 5; 0; 0; 266; 320.521
1; 3; 0; 0; 512; 319.305
0; 0; 1; 0; 872; 317.258
0; 1; 0; 0; 512; 315.099
0; 5; 0; 0; 512; 315.099
0; 3; 0; 0; 512; 315.194
0; 2; 0; 0; 78; 323.076
0; 5; 0; 0; 880; 322.425
0; 4; 0; 0; 946; 322.728
0; 0; 1; 0; 185; 320.295
0; 0; 2; 0; 989; 313.744
1; 0; 0; 1; 989; 313.744
0; 2; 0; 0; 281; 314.108
0; 0; 4; 0; 515; 321.248
0; 1; 0; 0; 880; 320.833
0; 4; 0; 0; 880; 320.833
0; 0; 1; 0; 880; 320.833
0; 2; 0; 0; 807; 322.886
0; 0; 2; 0; 262; 321.212
0; 2; 0; 0; 987; 326.33
0; 0; 4; 0; 987; 326.33
0; 0; 3; 0; 793; 325.16
0; 0; 4; 0; 806; 325.298
0; 0; 1; 0; 403; 321.338
0; 0; 4; 0; 403; 321.338
0; 0; 2; 0; 403; 321.338
0; 3; 0; 0; 403; 321.338
0; 0; 4; 0; 71; 326.62
0; 3; 0; 0; 71; 326.62
0; 4; 0; 0; 71; 326.62
0; 1; 0; 0; 71; 326.62
0; 0; 2; 0; 714; 331.286
0; 0; 4; 0; 714; 331.286
1; 0; 0; 1; 714; 331.286
0; 0; 3; 0; 714; 331.286
0; 4; 0; 0; 71; 333.682
0; 1; 0; 0; 71; 333.682
0; 2; 0; 0; 71; 333.682
1; 0; 0; 1; 71; 333.682
0; 4; 0; 0; 71; 333.682
0; 0; 2; 0; 71; 333.682
0; 0; 3; 0; 71; 333.682
0; 2; 0; 0; 686; 327.17
0; 4; 0; 0; 686; 327.17
0; 0; 5; 0; 436; 325.023
0; 0; 3; 0; 436; 325.023
0; 0; 3; 0; 880; 325.575
0; 1; 0; 0; 880; 325.575
0; 5; 0; 0; 71; 327.349
1; 0; 0; 1; 71; 327.349
0; 1; 0; 0; 71; 327.349
1; 0; 0; 1; 71; 327.349
0; 5; 0; 0; 71; 327.349
0; 0; 3; 0; 71; 327.349
0; 5; 0; 0; 71; 327.349
0; 0; 1; 0; 71; 327.349
0; 2; 0; 0; 71; 327.349
0; 2; 0; 0; 71; 327.349
0; 2; 0; 0; 71; 327.349
0; 0; 3; 0; 71; 327.349
0; 1; 0; 0; 71; 327.349
0; 0; 5; 0; 71; 327.349
0; 0; 4; 0; 71; 327.349
0; 4; 0; 0; 71; 327.349
0; 0; 2; 0; 71; 327.349
0; 0; 5; 0; 71; 327.349
0; 2; 0; 0; 71; 327.349
0; 0; 5; 0; 71; 327.349
0; 3; 0; 0; 71; 327.349
0; 5; 0; 0; 71; 327.349
1; 0; 0; 1; 71; 327.349
0; 0; 2; 0; 71; 327.349
0; 0; 1; 0; 71; 327.349
0; 5; 0; 0; 113; 324.679
0; 4; 0; 0; 113; 324.679
0; 1; 0; 0; 113; 324.453
0; 3; 0; 0; 113; 324.453
0; 0; 3; 0; 646; 320.867
0; 0; 4; 0; 885; 321.328
1; 3; 0; 0; 1; 319.334
0; 2; 0; 0; 240; 318.096
0; 1; 0; 0; 666; 323.686
0; 0; 2; 0; 71; 325.937
0; 0; 1; 0; 880; 329.52
0; 5; 0; 0; 880; 329.52
0; 4; 0; 0; 880; 329.52
0; 4; 0; 0; 880; 329.52
0; 3; 0; 0; 880; 329.52
0; 4; 0; 0; 880; 329.52
0; 0; 2; 0; 880; 329.52
0; 5; 0; 0; 880; 329.52
0; 0; 3; 0; 880; 329.52
0; 0; 2; 0; 880; 329.52
0; 0; 2; 0; 880; 329.52
0; 2; 0; 0; 880; 329.52
0; 0; 5; 0; 880; 329.52
1; 0; 0; 1; 880; 329.52
0; 0; 1; 0; 880; 329.52
1; 0; 0; 1; 880; 329.52
0; 1; 0; 0; 880; 329.52
0; 0; 5; 0; 880; 329.52
0; 0; 5; 0; 880; 329.52
0; 0; 2; 0; 880; 329.52
0; 5; 0; 0; 880; 329.52
0; 0; 3; 0; 880; 329.52
0; 2; 0; 0; 880; 329.52
0; 0; 5; 0; 880; 329.52
0; 1; 0; 0; 880; 329.52
0; 0; 3; 0; 880; 329.52
0; 0; 5; 0; 880; 329.52
0; 4; 0; 0; 880; 329.52
0; 4; 0; 0; 880; 329.52
0; 0; 1; 0; 880; 329.52
0; 0; 2; 0; 880; 329.52
1; 0; 0; 1; 880; 329.52
0; 2; 0; 0; 880; 329.52
0; 3; 0; 0; 880; 329.52
0; 5; 0; 0; 880; 329.52
0; 5; 0; 0; 880; 329.52
0; 5; 0; 0; 880; 329.52
0; 0; 1; 0; 880; 329.52
0; 0; 3; 0; 880; 329.52
0; 3; 0; 0; 880; 329.52
0; 1; 0; 0; 880; 329.52
0; 0; 1; 0; 880; 329.52
0; 2; 0; 0; 880; 329.52
0; 0; 4; 0; 880; 329.52
0; 5; 0; 0; 880; 329.52
0; 2; 0; 0; 880; 329.52
0; 1; 0; 0; 762; 322.716
0; 0; 5; 0; 387; 323.852
0; 3; 0; 0; 387; 323.852
0; 5; 0; 0; 387; 323.852
0; 0; 4; 0; 387; 323.852
1; 0; 0; 1; 387; 323.852
1; 0; 0; 1; 880; 324.766
0; 0; 5; 0; 880; 324.766
0; 0; 2; 0; 880; 324.766
0; 1; 0; 0; 880; 324.766
0; 0; 2; 0; 880; 324.766
0; 5; 0; 0; 880; 322.93
0; 1; 0; 0; 880; 322.93
0; 4; 0; 0; 880; 322.93
0; 4; 0; 0; 880; 322.93
0; 0; 3; 0; 880; 322.93
0; 0; 2; 0; 880; 322.93
0; 0; 4; 0; 880; 322.93
0; 0; 1; 0; 880; 322.93
0; 0; 2; 0; 880; 322.93
0; 3; 0; 0; 880; 322.93
0; 0; 5; 0; 880; 326.028
1; 0; 0; 1; 880; 326.028
0; 1; 0; 0; 880; 326.028
0; 3; 0; 0; 880; 326.028
0; 0; 3; 0; 880; 326.028
0; 0; 2; 0; 880; 326.028
0; 3; 0; 0; 880; 326.028
0; 0; 3; 0; 880; 326.028
0; 3; 0; 0; 880; 326.028
0; 0; 3; 0; 959; 324.432
0; 1; 0; 0; 71; 323.481
0; 0; 2; 0; 429; 324.482
0; 4; 0; 0; 429; 324.482
0; 0; 4; 0; 429; 324.482
0; 4; 0; 0; 807; 326.695
0; 5; 0; 0; 946; 324.809
0; 5; 0; 0; 959; 326.967
0; 5; 0; 0; 959; 326.967
0; 2; 0; 0; 807; 321.134
0; 2; 0; 0; 807; 321.134
0; 0; 4; 0; 401; 324.375
1; 0; 0; 1; 401; 324.375
0; 0; 1; 0; 641; 320.141
0; 0; 5; 0; 387; 326.554
0; 0; 4; 0; 387; 326.554
0; 4; 0; 0; 387; 326.554
0; 0; 5; 0; 387; 326.554
0; 0; 2; 0; 60; 323.72
0; 0; 2; 0; 332; 320.61
0; 0; 3; 0; 714; 324.623
0; 2; 0; 0; 71; 328.27
0; 0; 1; 0; 71; 328.27
0; 0; 1; 0; 71; 328.27
0; 0; 4; 0; 71; 328.27
0; 0; 5; 0; 71; 328.27
0; 0; 2; 0; 71; 328.27
1; 0; 0; 1; 71; 328.27
0; 0; 2; 0; 71; 328.27
0; 1; 0; 0; 71; 328.27
0; 4; 0; 0; 71; 328.27
